Weekday active occupancy distribution between 00:00 and 00:10,,,,,,
Number of residents in the house,1,2,3,4,5,6
Zero active occupants,0.844,0.798,0.754,0.734,0.680,0.615
One active occupant,0.156,0.145,0.189,0.182,0.176,0.205
Two active occupants,0.000,0.058,0.044,0.061,0.120,0.103
Three active occupants,0.000,0.000,0.013,0.020,0.008,0.051
Four active occupants,0.000,0.000,0.000,0.002,0.008,0.000
Five active occupants,0.000,0.000,0.000,0.000,0.008,0.026
Six active occupants,0.000,0.000,0.000,0.000,0.000,0.000
